DEPTH,RHOB,DT,GR,AI,AI_rel,PHIE
60.14,2051.6001,523.382,9.2444,3919890,-624.1545,0.374
60.29,2051.6001,523.3746,9.1412,3919945.75,-624.1545,0.374
60.44,2051.6001,523.3674,9.0451,3919999.75,-624.1545,0.374
60.59,2051.6001,523.3601,9.5364,3920054.5,-624.1545,0.374
60.74,2051.6001,523.3527,9.7458,3920110,-624.1545,0.374
60.89,2051.655,523.3453,10.1138,3920270.5,-624.1545,0.374
61.04,2051.7002,523.3378,12.1413,3920412.75,-624.1545,0.374
61.19,2051.7002,523.3304,13.7134,3920468.5,-624.1545,0.3739
61.34,2051.7002,523.3229,12.7955,3920524,-624.1545,0.3739
61.49,2051.7002,523.3157,10.5593,3920578.5,-624.1545,0.3739
61.64,2051.7002,523.3084,8.8837,3920632.75,-624.1545,0.3739
61.79,2051.7002,523.301,9.3633,3920688,-624.1545,0.3739
61.94,2051.7439,523.2936,11.187,3920827.25,-624.1545,0.3739
62.09,2051.8,523.2862,13.318,3920990.25,-624.1545,0.3739
62.24,2051.8,523.2787,15.0728,3921046,-624.1545,0.3739
62.39,2051.8,523.2713,14.2463,3921102,-624.1545,0.3739
62.54,2051.8,523.264,13.2897,3921156.25,-624.1545,0.3739
62.69,2051.8,523.2568,13.5347,3921210.25,-624.1545,0.3739
62.84,2051.8,523.2494,13.5711,3921266,-624.1545,0.3739
62.99,2051.8,523.2419,15.0774,3921321.75,-674.0081,0.3739
63.14,2051.8311,523.2346,16.2673,3921436.25,-797.939,0.3738
63.29,2051.8999,523.2271,17.499,3921623.5,-843.8218,0.3738
63.44,2051.8999,523.2197,16.742,3921679.75,-843.8218,0.3738
63.59,2051.8999,523.2123,14.1355,3921735,-843.8218,0.3738
63.74,2051.8999,523.2049,12.6164,3921790.25,-843.8218,0.3738
63.89,2051.8999,523.1978,14.1052,3921843.75,-843.8218,0.3738
64.04,2051.8999,523.1904,16.674,3921899.5,-843.8218,0.3738
64.19,2051.8999,523.1829,18.4646,3921955.5,-843.8218,0.3738
64.34,2051.918,523.1755,19.5263,3922045.75,-843.8218,0.3738
64.49,2052,523.1681,17.4502,3922257.75,-843.8218,0.3738
64.64,2052,523.1606,15.8046,3922313.5,-843.8218,0.3738
64.79,2052,523.1532,14.191,3922369.25,-843.8218,0.3738
64.94,2052,523.1461,13.5549,3922422.75,-843.8218,0.3737
65.09,2052,523.1387,17.9518,3922478.5,-843.8218,0.3737
65.24,2052,523.1312,17.0548,3922533.75,-843.8218,0.3737
65.39,2052.0068,523.1238,21.6696,3922602.75,-843.8218,0.3737
